job_id,depth,seed,k,scenario,obj_val,time
15075843,5.0,8.0,3.0,0.0,3.9999999999999996,8.84
15077284,6.0,9.0,1.0,5.0,8.99999527611452,4.97
15076482,7.0,17.0,4.0,0.0,3.8620689655172415,263.45
15076760,8.0,25.0,3.0,0.0,3.111111111111111,1372.97
15077642,7.0,6.0,3.0,5.0,4.0,571.72
15076454,7.0,19.0,3.0,0.0,4.0,27.78
15075951,5.0,26.0,6.0,0.0,3.999995828624587,87.68
15075845,5.0,10.0,3.0,0.0,4.000000000000002,12.97
15077669,7.0,3.0,4.0,5.0,3.968503937007874,15140.54
15076739,8.0,4.0,3.0,0.0,4.0,243.67
15077678,7.0,12.0,4.0,5.0,4.199991242862696,15803.62
15076978,5.0,3.0,1.0,5.0,6.999999999999998,9.44
15077667,7.0,1.0,4.0,5.0,3.9999861011655233,19237.38
15075977,5.0,22.0,7.0,0.0,3.8181818181818183,17844.64
15076352,6.0,7.0,10.0,0.0,4.235280543485358,33781.6
15076281,6.0,26.0,7.0,0.0,3.789473684210526,1686.48
15076980,5.0,5.0,1.0,5.0,6.999999999999998,9.51
15075797,5.0,22.0,1.0,0.0,5.999999999999998,9.6
15076044,5.0,29.0,9.0,0.0,3.929824561403509,628.52
15075837,5.0,2.0,3.0,0.0,4.235294117647059,12.18
15076166,6.0,1.0,4.0,0.0,4.0,92.83
15077320,6.0,15.0,2.0,5.0,4.0,9.72
15075940,5.0,15.0,6.0,0.0,4.0,101.56
15076024,5.0,9.0,9.0,0.0,4.4999939732389,541.23
15075996,5.0,11.0,8.0,0.0,3.943661971830986,477.67
15076184,6.0,19.0,4.0,0.0,4.235288373287673,201.74
15076196,6.0,1.0,5.0,0.0,3.9999868169199417,911.25
15077155,5.0,30.0,6.0,5.0,3.870967741935484,413.35
15077176,5.0,21.0,7.0,5.0,4.49996933800145,725.03
15076991,5.0,16.0,1.0,5.0,7.0,9.7
15077445,6.0,20.0,6.0,5.0,4.235285852806774,23727.87
15076183,6.0,18.0,4.0,0.0,4.499991832912114,127.87
15076314,6.0,29.0,8.0,0.0,3.862068965517241,6909.45
15077287,6.0,12.0,1.0,5.0,8.99999470545792,5.87
15075917,5.0,22.0,5.0,0.0,4.0,78.56
15077903,8.0,27.0,1.0,5.0,8.999997267728295,11.47
15077927,8.0,21.0,2.0,5.0,4.235294117647059,317.3
15077879,8.0,3.0,1.0,5.0,5.999999999999998,11.41
15077599,7.0,23.0,1.0,5.0,7.999992677389916,6.52
15077088,5.0,23.0,4.0,5.0,4.235294117647059,65.1
15077114,5.0,19.0,5.0,5.0,3.9999995648139253,50.22
15077057,5.0,22.0,3.0,5.0,3.9999999993333377,9.99
15076341,6.0,26.0,9.0,0.0,3.7894683759009675,38037.65
15077013,5.0,8.0,2.0,5.0,4.49999950054946,7.88
15077026,5.0,21.0,2.0,5.0,4.5,13.5
15077058,5.0,23.0,3.0,5.0,4.235293448226279,13.8
15076376,7.0,1.0,1.0,0.0,6.0,9.08
15076578,7.0,23.0,7.0,0.0,2.9681978798586575,23544.23
