job_id,depth,seed,k_x,scenario,obj_val,time,k_y,nash
15151737,7.0,29.0,1.0,0.0,6.999999999999998,5.23,0,3.524475524475524
15150870,6.0,4.0,3.0,5.0,4.0,37.33,0,3.8802395209580833
15151267,8.0,11.0,4.0,5.0,4.0,1665.46,0,3.5354637568199534
15150807,6.0,1.0,1.0,5.0,7.0,5.36,0,3.8181818181818175
15150775,5.0,29.0,5.0,5.0,4.199999938321494,41.4,0,3.906976744186047
15151789,7.0,21.0,3.0,0.0,4.0,25.46,0,3.628152674918432
15150953,6.0,27.0,5.0,5.0,4.799999587631969,114.7,0,4.0
15151649,6.0,2.0,5.0,0.0,4.799997199419963,102.21,0,4.235294117647059
15151787,7.0,19.0,3.0,0.0,4.0,50.8,0,3.5121951219512195
15151209,8.0,13.0,2.0,5.0,4.0,32.89,0,3.610315186246418
15151753,7.0,15.0,2.0,0.0,3.999999999999998,9.55,0,3.376076555023924
15150797,5.0,21.0,6.0,5.0,4.5,10.5,0,4.5
15151848,7.0,20.0,5.0,0.0,3.99999547375316,20386.96,0,3.493069306930693
15150924,6.0,28.0,4.0,5.0,4.0,164.83,0,3.8443935926773456
15151550,6.0,23.0,1.0,0.0,6.999999999199999,3.73,0,3.733333333333333
15151655,6.0,8.0,5.0,0.0,4.199999347737906,197.49,0,3.9375
15150973,6.0,17.0,6.0,5.0,3.999999194663314,293.94,0,3.803773584905661
15150774,5.0,28.0,5.0,5.0,4.0,41.23,0,3.879218472468916
15151529,6.0,2.0,1.0,0.0,8.0,3.5,0,4.235294117647059
15151999,8.0,20.0,4.0,0.0,3.999992880377508,7220.84,0,3.2238805970149254
15150676,5.0,20.0,2.0,5.0,4.5,11.51,0,4.5
15150985,6.0,29.0,6.0,5.0,3.99999987251649,151.74,0,3.906976744186047
15151764,7.0,26.0,2.0,0.0,4.0,15.24,0,3.51219512195122
15151405,5.0,29.0,2.0,0.0,3.999999999999994,3.63,0,3.929824561403509
15151746,7.0,8.0,2.0,0.0,4.000000000000069,9.84,0,3.4886940470696817
15152015,8.0,6.0,5.0,0.0,3.599995155621347,4178.7,0,3.2727272727272725
15151210,8.0,14.0,2.0,5.0,4.499992370605465,85.74,0,3.55893536121673
15151563,6.0,6.0,2.0,0.0,4.499999999999999,5.49,0,3.857142857142856
15151462,5.0,26.0,4.0,0.0,4.499999583333335,11.34,0,3.951219512195122
15151471,5.0,5.0,5.0,0.0,4.199997599999675,22.23,0,3.984189723320158
15151564,6.0,7.0,2.0,0.0,4.499999999999997,7.07,0,4.235294117647059
15151106,7.0,30.0,4.0,5.0,4.0,2016.37,0,3.7058823529411766
15151870,7.0,12.0,6.0,0.0,3.333333333333333,887.05,0,3.092024539877301
15151441,5.0,5.0,4.0,0.0,4.499999889533447,12.94,0,3.984189723320158
15151680,6.0,3.0,6.0,0.0,4.499997814954191,252.47,0,3.968503937007874
15150845,6.0,9.0,2.0,5.0,4.499999999999997,12.45,0,4.0
15150945,6.0,19.0,5.0,5.0,4.0,26.61,0,3.847328244274809
15151821,7.0,23.0,4.0,0.0,3.5,109.99,0,2.960352422907489
15150949,6.0,23.0,5.0,5.0,4.7999921662670895,893.34,0,3.968503937007874
15151957,8.0,8.0,3.0,0.0,3.999999732804576,74.92,0,3.304918032786885
15151024,7.0,8.0,2.0,5.0,4.499999824959287,26.99,0,3.917098445595855
15151039,7.0,23.0,2.0,5.0,4.499999999449996,23.64,0,3.978947368421053
15151280,8.0,24.0,4.0,5.0,4.0,42187.67,0,3.2342245989304814
15151456,5.0,20.0,4.0,0.0,4.499999999999998,7.78,0,4.235294117647059
15151908,8.0,19.0,1.0,0.0,4.000000000000001,14.38,0,3.2481203007518795
15151373,5.0,27.0,1.0,0.0,9.0,11.0,0,4.0
15151104,7.0,28.0,4.0,5.0,4.0,497.75,0,3.7472118959107807
15151214,8.0,18.0,2.0,5.0,4.499997811294429,92.09,0,3.5521821631878554
15150824,6.0,18.0,1.0,5.0,9.0,5.78,0,4.363636363636364
15151477,5.0,11.0,5.0,0.0,4.199999399999997,25.18,0,3.9069767441860463
15150959,6.0,3.0,6.0,5.0,4.499971934719888,2131.33,0,3.928730512249442
15151165,7.0,29.0,6.0,5.0,4.0,2933.41,0,3.8811881188118815
15151917,8.0,28.0,1.0,0.0,4.0,14.82,0,3.473684210526316
15151826,7.0,28.0,4.0,0.0,3.9999990104546495,316.83,0,3.62589928057554
15151822,7.0,24.0,4.0,0.0,3.4999949932098406,236.83,0,2.966361644541823
15152017,8.0,8.0,5.0,0.0,3.9999922800373104,5303.98,0,3.304918032786885
15152003,8.0,24.0,4.0,0.0,3.0,788.62,0,2.847457627118644
15151637,6.0,20.0,4.0,0.0,4.499999610666393,86.15,0,4.235294117647059
15151457,5.0,21.0,4.0,0.0,4.499999970097948,11.8,0,3.984189723320158
15151503,5.0,7.0,6.0,0.0,4.499999499999811,32.37,0,4.235294117647059
15150687,5.0,1.0,3.0,5.0,4.666665919990747,14.03,0,3.876923076923077
15151284,8.0,28.0,4.0,5.0,4.0,17298.03,0,3.5354637568199534
15150882,6.0,16.0,3.0,5.0,4.666666666666666,50.65,0,3.9507278835386335
15151276,8.0,20.0,4.0,5.0,4.0,33986.93,0,3.5492957746478875
15150903,6.0,7.0,4.0,5.0,4.499988806349108,649.87,0,3.9014778325123154
15151219,8.0,23.0,2.0,5.0,4.0,27.76,0,3.1898734177215187
15151270,8.0,14.0,4.0,5.0,4.0,1069.6,0,3.55893536121673
15150975,6.0,19.0,6.0,5.0,3.999999666666656,104.05,0,3.847328244274809
15151242,8.0,16.0,3.0,5.0,4.0,709.46,0,3.4992161254199328
15151798,7.0,30.0,3.0,0.0,3.999999672994396,44.07,0,3.24812030075188
15150971,6.0,15.0,6.0,5.0,4.0,128.82,0,3.910766246362755
15151016,7.0,30.0,1.0,5.0,6.999999999999998,12.67,0,3.7058823529411766
15150861,6.0,25.0,2.0,5.0,4.4999996575102665,11.88,0,3.898342541436464
15151971,8.0,22.0,3.0,0.0,3.9999992499999992,162.84,0,3.144385026737968
15151113,7.0,7.0,5.0,5.0,4.0,3335.13,0,3.807692307692308
15151223,8.0,27.0,2.0,5.0,4.499999175136375,75.78,0,3.692307692307693
15151007,7.0,21.0,1.0,5.0,8.0,11.54,0,4.080971659919029
15151621,6.0,4.0,4.0,0.0,3.9999998553157208,16.08,0,3.789473684210526
15151535,6.0,8.0,1.0,0.0,7.0,3.68,0,3.9375
15150767,5.0,21.0,5.0,5.0,5.399994959360028,66.55,0,4.5
15150958,6.0,2.0,6.0,5.0,4.5,141.19,0,4.235294117647059
15150991,7.0,5.0,1.0,5.0,6.999999999199999,6.98,0,3.806646525679758
15150798,5.0,22.0,6.0,5.0,4.0,445.77,0,3.7611940298507465
15151840,7.0,12.0,5.0,0.0,3.5999916025427057,1264.45,0,3.092024539877301
15151495,5.0,29.0,5.0,0.0,4.199999857142859,26.94,0,3.929824561403509
15151754,7.0,16.0,2.0,0.0,4.0,11.62,0,3.571302037201064
15152061,8.0,22.0,6.0,0.0,3.333333333333333,5390.93,0,3.144385026737968
15151033,7.0,17.0,2.0,5.0,4.0,29.48,0,3.803773584905661
15151751,7.0,13.0,2.0,0.0,3.999999999999994,11.08,0,3.5430579964850617
15151856,7.0,28.0,5.0,0.0,4.0,19374.7,0,3.62589928057554
15151768,7.0,30.0,2.0,0.0,3.999999782600307,26.05,0,3.24812030075188
15151554,6.0,27.0,1.0,0.0,6.0,3.62,0,3.789473684210527
15151612,6.0,25.0,3.0,0.0,4.666666257415254,14.26,0,3.862068965517242
15150628,5.0,2.0,1.0,5.0,7.999999999999998,4.82,0,4.235294117647059
15151403,5.0,27.0,2.0,0.0,4.5,4.1,0,4.0
15151760,7.0,22.0,2.0,0.0,3.99999988140381,23.04,0,3.330396475770925
15151142,7.0,6.0,6.0,5.0,4.0,15079.48,0,3.789473684210527
15150898,6.0,2.0,4.0,5.0,4.5,265.09,0,4.235294117647059
15151773,7.0,5.0,3.0,0.0,4.0,27.79,0,3.5430579964850617
15150645,5.0,19.0,1.0,5.0,5.999999999999999,11.21,0,3.847328244274809
15151119,7.0,13.0,5.0,5.0,4.199985607015892,5611.36,0,3.978947368421053
15150939,6.0,13.0,5.0,5.0,4.199999984810124,76.5,0,3.985940246045695
15150787,5.0,11.0,6.0,5.0,4.499999541666557,82.0,0,3.968503937007874
15151814,7.0,16.0,4.0,0.0,3.999999640492157,153.42,0,3.571302037201064
15151075,7.0,29.0,3.0,5.0,4.666641350449252,1403.71,0,3.8811881188118815
15151002,7.0,16.0,1.0,5.0,6.999998148388797,4.59,0,3.942633637548892
15150764,5.0,18.0,5.0,5.0,5.399998281818185,17.45,0,4.5
15151780,7.0,12.0,3.0,0.0,3.9999991179107615,62.53,0,3.092024539877301
15151196,8.0,30.0,1.0,5.0,6.999999999999998,8.99,0,3.189873417721519
15151685,6.0,8.0,6.0,0.0,4.499997748899986,127.02,0,3.9375
15151698,6.0,21.0,6.0,0.0,4.499999249999796,296.56,0,3.968503937007874
15151021,7.0,5.0,2.0,5.0,4.499999999999999,35.25,0,3.806646525679758
15151301,8.0,15.0,5.0,5.0,4.0,5787.43,0,3.523355576739753
15151262,8.0,6.0,4.0,5.0,4.0,807.2,0,3.4698795180722897
15151630,6.0,13.0,4.0,0.0,4.499999602941086,45.94,0,3.968503937007874
15150977,6.0,21.0,6.0,5.0,4.499999496710119,111.2,0,4.080971659919029
15151026,7.0,10.0,2.0,5.0,4.4999997291640925,45.05,0,3.8591117917304754
15151847,7.0,19.0,5.0,0.0,4.0,453.33,0,3.5121951219512195
15151465,5.0,29.0,4.0,0.0,4.0,7.68,0,3.929824561403509
15152001,8.0,22.0,4.0,0.0,3.9999812092131166,11529.31,0,3.144385026737968
15151460,5.0,24.0,4.0,0.0,4.499999763336152,7.28,0,4.235294117647059
15151066,7.0,20.0,3.0,5.0,5.333328247070312,178.64,0,4.235294117647059
15151213,8.0,17.0,2.0,5.0,3.9999999995,108.06,0,3.442622950819672
15151468,5.0,2.0,5.0,0.0,4.799999631994551,11.67,0,4.235294117647059
15151613,6.0,26.0,3.0,0.0,4.0,6.21,0,3.789473684210527
15151693,6.0,16.0,6.0,0.0,4.49999020640335,149.03,0,4.235294117647059
15152065,8.0,26.0,6.0,0.0,3.333333333333333,1884.08,0,3.2516129032258063
15150667,5.0,11.0,2.0,5.0,4.5,11.58,0,3.968503937007874
15151090,7.0,14.0,4.0,5.0,4.4999820714257845,23770.31,0,3.9272727272727272
15151226,8.0,30.0,2.0,5.0,3.999999999203745,73.23,0,3.189873417721519
15151235,8.0,9.0,3.0,5.0,3.999999750164838,562.55,0,3.633783474479286
15151507,5.0,11.0,6.0,0.0,3.999999923892811,19.94,0,3.9069767441860463
15150684,5.0,28.0,2.0,5.0,3.999999999999997,4.97,0,3.879218472468916
15151684,6.0,7.0,6.0,0.0,4.499999000000004,219.63,0,4.235294117647059
15151722,7.0,14.0,1.0,0.0,7.0,10.85,0,3.678832116788321
15151874,7.0,16.0,6.0,0.0,4.0,12280.61,0,3.571302037201064
15151813,7.0,15.0,4.0,0.0,3.999999632498649,195.52,0,3.376076555023924
15152010,8.0,1.0,5.0,0.0,4.0,1222.12,0,3.236697247706421
15151567,6.0,10.0,2.0,0.0,4.0,4.18,0,3.862068965517241
15151553,6.0,26.0,1.0,0.0,6.000000000000001,3.69,0,3.789473684210527
15151718,7.0,11.0,1.0,0.0,5.999999999999998,10.72,0,3.522580645161291
15150914,6.0,18.0,4.0,5.0,4.499999524312885,61.06,0,4.363636363636364
15150988,7.0,2.0,1.0,5.0,7.999999999999998,8.46,0,4.235294117647059
15151972,8.0,23.0,3.0,0.0,2.99999988490505,75.92,0,2.7354138398914523
15151793,7.0,25.0,3.0,0.0,3.999999788065225,62.36,0,3.206106870229008
15151036,7.0,20.0,2.0,5.0,4.499999646303587,49.0,0,4.235294117647059
15151723,7.0,15.0,1.0,0.0,5.999999999999997,10.83,0,3.376076555023924
15150791,5.0,15.0,6.0,5.0,4.499999588235215,64.44,0,4.235294117647059
15151914,8.0,25.0,1.0,0.0,3.999999999999998,14.67,0,2.947368421052632
15151548,6.0,21.0,1.0,0.0,7.0,3.56,0,3.968503937007874
15150983,6.0,27.0,6.0,5.0,4.499973203016159,41027.84,0,4.0
15151820,7.0,22.0,4.0,0.0,4.0,307.24,0,3.330396475770925
15151395,5.0,19.0,2.0,0.0,4.5,4.01,0,4.235294117647059
15151928,8.0,9.0,2.0,0.0,4.0,15.1,0,3.5294117647058822
15151739,7.0,1.0,2.0,0.0,3.999999999999996,7.63,0,3.411167512690356
15151425,5.0,19.0,3.0,0.0,5.333333333333327,14.07,0,4.235294117647059
15151892,8.0,3.0,1.0,0.0,4.0,4.44,0,3.38255033557047
15150683,5.0,27.0,2.0,5.0,4.499999999999999,4.31,0,4.5
15151200,8.0,4.0,2.0,5.0,4.0,22.78,0,3.484874675885912
15152059,8.0,20.0,6.0,0.0,3.333333333333333,2492.16,0,3.2238805970149254
15151500,5.0,4.0,6.0,0.0,3.9999999999999822,6.51,0,3.9204840103716494
15151487,5.0,21.0,5.0,0.0,4.199999778264573,25.22,0,3.984189723320158
15151714,7.0,7.0,1.0,0.0,5.999999999999998,11.41,0,3.618090452261306
15151958,8.0,9.0,3.0,0.0,3.999999580172657,97.21,0,3.5294117647058822
15151071,7.0,25.0,3.0,5.0,4.666645462997311,483.85,0,3.8591117917304745
15151598,6.0,11.0,3.0,0.0,4.666666190476191,11.03,0,3.906976744186047
15151408,5.0,2.0,3.0,0.0,5.33333291183091,4.88,0,4.235294117647059
15151153,7.0,17.0,6.0,5.0,4.0,3474.45,0,3.803773584905661
15150944,6.0,18.0,5.0,5.0,5.399972188013255,37766.1,0,4.363636363636364
15151759,7.0,21.0,2.0,0.0,4.0,7.45,0,3.628152674918432
15150681,5.0,25.0,2.0,5.0,4.5,5.74,0,3.978947368421053
15151541,6.0,14.0,1.0,0.0,7.999999999999998,3.73,0,4.235294117647059
15150952,6.0,26.0,5.0,5.0,4.799988065612455,2563.24,0,3.9685039370078745
15151939,8.0,20.0,2.0,0.0,3.999999561003973,51.68,0,3.2238805970149254
15150980,6.0,24.0,6.0,5.0,4.499999019272338,202.45,0,4.080971659919029
15151058,7.0,12.0,3.0,5.0,5.999971465476406,1471.92,0,4.2
15150820,6.0,14.0,1.0,5.0,7.999996066005591,3.99,0,3.972413793103448
15151122,7.0,16.0,5.0,5.0,4.199995102685668,903.28,0,3.942633637548892
15151463,5.0,27.0,4.0,0.0,4.49999961111111,18.66,0,4.0
15151022,7.0,6.0,2.0,5.0,4.5,35.25,0,3.789473684210527
15151792,7.0,24.0,3.0,0.0,3.9999922621888127,84.97,0,2.966361644541823
15151710,7.0,3.0,1.0,0.0,6.0,3.83,0,3.5060869565217385
15151616,6.0,29.0,3.0,0.0,4.666666037036995,11.56,0,3.862068965517242
15150765,5.0,19.0,5.0,5.0,3.999999999499999,10.38,0,3.847328244274809
15150921,6.0,25.0,4.0,5.0,4.499986824044822,1574.59,0,3.898342541436464
15151750,7.0,12.0,2.0,0.0,4.0,13.86,0,3.092024539877301
15151915,8.0,26.0,1.0,0.0,3.999999999999999,14.61,0,3.2516129032258063
15150739,5.0,23.0,4.0,5.0,4.500000000000083,5.91,0,4.235294117647059
15151032,7.0,16.0,2.0,5.0,4.499993153969577,74.04,0,3.942633637548892
15150928,6.0,2.0,5.0,5.0,4.799999098525279,42.85,0,4.235294117647059
15151877,7.0,19.0,6.0,0.0,4.0,2153.75,0,3.5121951219512195
15151648,6.0,1.0,5.0,0.0,4.199991931447009,605.44,0,3.8181818181818175
15150822,6.0,16.0,1.0,5.0,6.999999999999998,4.38,0,3.9507278835386335
15151910,8.0,21.0,1.0,0.0,3.9999991866722464,15.67,0,3.449691991786448
15151909,8.0,20.0,1.0,0.0,4.0,14.56,0,3.2238805970149254
15151633,6.0,16.0,4.0,0.0,4.499999485339505,42.7,0,4.235294117647059
15151777,7.0,9.0,3.0,0.0,3.9999999999999942,56.38,0,3.696
15151998,8.0,19.0,4.0,0.0,3.9999989765528823,453.19,0,3.2481203007518795
15150692,5.0,6.0,3.0,5.0,5.333333019214703,13.41,0,4.235294117647059
15150891,6.0,25.0,3.0,5.0,4.666666666099998,31.1,0,3.898342541436464
15150648,5.0,22.0,1.0,5.0,6.0,11.13,0,3.7611940298507465
15151948,8.0,29.0,2.0,0.0,4.0,11.54,0,3.3075356415478616
15151404,5.0,28.0,2.0,0.0,3.9999999999999942,3.61,0,3.9280575539568345
15151201,8.0,5.0,2.0,5.0,3.999999999500001,45.09,0,3.3923076923076927
15151577,6.0,20.0,2.0,0.0,4.499999999999997,7.48,0,4.235294117647059
15151611,6.0,24.0,3.0,0.0,5.333332973615739,17.86,0,4.235294117647059
15151009,7.0,23.0,1.0,5.0,7.999992677389916,13.58,0,3.978947368421053
15151046,7.0,30.0,2.0,5.0,3.9999999504301775,31.72,0,3.7058823529411766
15151778,7.0,10.0,3.0,0.0,3.999999999499999,115.51,0,3.640183847669074
15151384,5.0,8.0,2.0,0.0,4.499999999999997,3.72,0,3.968503937007874
15151253,8.0,27.0,3.0,5.0,4.0,1753.04,0,3.692307692307693
15151797,7.0,29.0,3.0,0.0,3.9999999999998743,25.63,0,3.524475524475524
15151037,7.0,21.0,2.0,5.0,4.499999339193067,22.99,0,4.080971659919029
15150793,5.0,17.0,6.0,5.0,3.999999819515896,39.27,0,3.868421052631579
15150851,6.0,15.0,2.0,5.0,4.499999999449993,8.01,0,3.910766246362755
15151006,7.0,20.0,1.0,5.0,7.999999999999998,4.47,0,4.235294117647059
15151218,8.0,22.0,2.0,5.0,3.9999997092384096,66.01,0,3.268482490272374
15150926,6.0,30.0,4.0,5.0,3.999999943330197,106.11,0,3.818181818181818
15150994,7.0,8.0,1.0,5.0,7.0,4.75,0,3.917098445595855
15150776,5.0,30.0,5.0,5.0,4.199999999479999,10.94,0,3.86842105263158
15150723,5.0,7.0,4.0,5.0,4.499999203931265,115.81,0,3.909502262443439
15151740,7.0,2.0,2.0,0.0,4.0,5.55,0,3.577639751552795
15150897,6.0,1.0,4.0,5.0,3.999999896817958,180.16,0,3.8181818181818175
15151479,5.0,13.0,5.0,0.0,4.1999999999999975,18.64,0,3.988489208633093
15152026,8.0,17.0,5.0,0.0,3.2,1209.32,0,2.9754768392370576
15151790,7.0,22.0,3.0,0.0,3.999999685250389,43.34,0,3.330396475770925
15151755,7.0,17.0,2.0,0.0,3.999999999499992,15.75,0,3.36
15150745,5.0,29.0,4.0,5.0,4.0,5.96,0,3.906976744186047
15151398,5.0,22.0,2.0,0.0,4.0,3.85,0,3.798994974874372
15150860,6.0,24.0,2.0,5.0,4.5,10.82,0,4.080971659919029
15150715,5.0,29.0,3.0,5.0,4.666666666666662,8.55,0,3.906976744186047
15151518,5.0,22.0,6.0,0.0,3.999999746017511,22.53,0,3.798994974874372
15151156,7.0,20.0,6.0,5.0,4.499992170030466,8124.52,0,4.235294117647059
15151809,7.0,11.0,4.0,0.0,4.0,257.68,0,3.522580645161291
15151632,6.0,15.0,4.0,0.0,4.0,37.26,0,3.644628099173554
15150633,5.0,7.0,1.0,5.0,6.0,11.18,0,3.909502262443439
15151054,7.0,8.0,3.0,5.0,4.666665714286676,157.99,0,3.917098445595855
15150716,5.0,30.0,3.0,5.0,4.666666666666666,6.27,0,3.86842105263158
15151748,7.0,10.0,2.0,0.0,4.0,8.15,0,3.640183847669074
15150669,5.0,13.0,2.0,5.0,4.499999999999998,13.27,0,3.988489208633093
15151581,6.0,24.0,2.0,0.0,4.499999999449996,6.11,0,4.235294117647059
15151249,8.0,23.0,3.0,5.0,3.9999995101073376,343.66,0,3.1898734177215187
