job_id,depth,seed,k,obj_val,time
15041637,9.0,28.0,12.0,6.054054054054054,6.85
15040346,7.0,1.0,2.0,7.0,3.92
15040224,6.0,29.0,12.0,6.222222222222222,6.56
15040724,7.0,19.0,14.0,6.3596214511041005,6.87
15042011,10.0,12.0,10.0,7.024390243902439,6.0
15042081,10.0,22.0,12.0,5.694915141318249,36.61
15041173,8.0,17.0,14.0,6.222222222222222,10.68
15040187,6.0,22.0,11.0,5.69491525423729,11.46
15041381,9.0,13.0,4.0,6.99999903428567,9.46
15040323,7.0,8.0,1.0,9.0,3.72
15039607,5.0,14.0,7.0,6.445012655772667,5.5
15040794,8.0,28.0,1.0,8.0,3.65
15040140,6.0,5.0,10.0,6.146341463414634,5.5
15042046,10.0,17.0,11.0,6.222222222222222,13.47
15041619,9.0,10.0,12.0,6.319749216300941,12.33
15040275,6.0,20.0,14.0,6.596858638743455,5.85
15040358,7.0,13.0,2.0,8.0,4.13
15040941,8.0,25.0,6.0,6.631578947368421,5.55
15039632,5.0,9.0,8.0,6.810810810810811,4.71
15041890,10.0,11.0,6.0,6.3197492163009406,12.15
15040305,6.0,20.0,15.0,6.596858638743455,5.51
15040268,6.0,13.0,14.0,6.531317494600432,12.34
15039642,5.0,19.0,8.0,6.359621451104101,4.91
15040282,6.0,27.0,14.0,6.810810810810811,4.21
15041609,9.0,30.0,11.0,6.359621451104101,8.16
15040269,6.0,14.0,14.0,6.445012787723785,9.3
15041160,8.0,4.0,14.0,5.976284584980236,16.38
15040080,6.0,5.0,8.0,6.146341463414634,5.84
15041210,8.0,24.0,15.0,6.72,5.98
15040075,6.0,30.0,7.0,6.359621451104101,4.15
15040389,7.0,14.0,3.0,7.0,4.39
15039742,5.0,29.0,11.0,6.16,6.27
15040806,8.0,10.0,2.0,8.0,6.73
15041632,9.0,23.0,12.0,6.5968586387434565,16.26
15040776,8.0,10.0,1.0,9.0,3.37
15039685,5.0,2.0,10.0,7.266055045871568,6.66
15040732,7.0,27.0,14.0,6.8108108108108105,6.24
15040333,7.0,18.0,1.0,9.0,3.71
15041575,9.0,26.0,10.0,6.857142857142857,6.41
15040038,6.0,23.0,6.0,6.596858638743456,6.03
15040519,7.0,24.0,7.0,6.72,6.86
15040439,7.0,4.0,5.0,6.0,5.06
15041856,10.0,7.0,5.0,6.1214574898785425,7.54
